A,B,C,D,E,outcome,treatment
-1.131511,-0.999343,-0.825041,0,1.427877,0.193084,0
-1.381472,0.967995,-0.487829,1,2.265316,5.473145,1
-0.116491,0.864373,-2.858829,1,3.440592,1.307466,0
0.331203,-0.50183,-1.174677,1,0.576938,5.31806,1
0.636828,0.1885,0.646483,1,0.695562,0.478462,0
0.643412,-1.892701,0.293584,0,-0.538612,0.011842,0
0.504078,1.967749,-0.357262,0,2.092156,0.974541,0
-0.458086,-0.111776,-0.702681,1,2.200826,5.713641,1
-0.874397,1.00113,0.108442,1,0.034283,4.722249,1
-1.759073,0.811158,-0.969348,1,1.51907,0.012729,0
0.848727,1.555198,-2.352656,1,2.1185,1.109921,0
-0.428652,-0.235986,-0.694162,1,1.127717,5.307064,1
-0.661303,0.40114,-0.284844,1,1.74883,5.463844,1
0.928796,0.756426,0.434715,1,1.076262,5.723032,1
-1.149128,1.069859,-2.129159,1,-0.315426,4.517815,1
0.583875,1.351671,-0.810874,1,1.950776,0.940199,0
0.045641,-0.280065,-0.763267,0,2.226535,5.875651,1
-1.28875,-0.46691,-1.789215,0,1.63593,5.205933,1
-0.326724,1.557428,-0.20029,1,-0.053068,4.888264,1
0.722044,-1.839759,0.059405,1,0.15025,5.268768,1
0.544675,1.767349,-0.978655,1,-0.228999,5.121012,1
1.244514,-0.105007,1.36713,1,1.671406,1.070037,0
0.087261,0.192754,-1.007323,1,2.169819,5.859127,1
3.121376,-0.485026,-1.134646,0,1.325915,6.520757,1
-1.171311,0.149122,-1.163634,1,1.841965,5.341517,1
-0.649558,1.468455,-1.503462,1,0.033788,4.819776,1
-0.311784,0.96818,-1.246988,1,1.047291,5.322328,1
-1.66967,0.690003,-2.122052,1,-0.468442,-0.729967,0
0.791572,0.28619,-0.879496,0,0.129648,5.31702,1
0.652612,-1.248293,-0.630489,1,1.780103,5.87727,1
-0.23192,-0.64682,-2.970765,1,0.661834,5.17114,1
-0.785336,-0.145884,-0.789913,1,2.110811,5.55428,1
-1.745974,0.654993,-0.645829,1,1.439389,5.007329,1
-1.040178,0.26697,-0.173374,1,3.635851,6.079295,1
0.492791,1.180821,0.516672,1,0.995194,5.573037,1
-0.463081,0.670944,0.163391,1,-0.504976,4.68973,1
-0.677789,0.251668,-1.308327,1,0.866899,5.109151,1
0.250528,2.473078,-1.424375,1,-0.061587,5.118503,1
0.907267,0.603544,-0.108459,1,1.878609,6.014121,1
0.006197,-0.234625,-1.235243,1,0.943409,5.344384,1
0.063593,2.057284,-1.916017,1,0.764157,5.344806,1
1.120942,1.397729,1.686179,1,0.777297,0.658602,0
-0.075367,2.013405,-0.998687,1,1.64177,5.654771,1
-0.560209,0.086385,-1.314487,0,0.448967,4.995746,1
0.422206,1.173626,-2.880093,1,1.678479,5.81186,1
-0.50755,-1.255532,0.163439,1,1.947,0.590613,0
-0.618746,0.981323,-1.675899,1,0.559287,0.020289,0
1.022814,0.039593,-0.659342,1,-0.024618,0.334115,0
-0.542873,-1.157741,0.28066,1,0.388464,4.938321,1
-2.906096,1.229917,-1.660232,1,1.611538,4.694441,1
0.094598,-1.612814,-0.608481,0,0.993908,0.41754,0
-0.646436,-1.71539,0.835824,1,1.531504,5.357323,1
-0.540057,0.559793,-3.14471,1,2.664366,0.853206,0
0.202016,0.768665,-1.498469,1,1.132383,5.520955,1
-0.416981,1.167841,-1.592505,1,0.092492,4.92155,1
-0.035981,0.93928,-0.874868,1,1.958853,5.761956,1
-2.273235,1.673976,-0.735754,0,0.95279,-0.381463,0
-1.193977,0.89756,-1.749226,1,1.773876,5.31744,1
1.153039,0.065018,-1.342336,0,1.967628,1.14334,0
-0.269471,0.123706,-1.461188,0,-0.057579,-0.105785,0
-1.924425,-0.084904,-1.038752,1,2.283434,5.246472,1
-1.323452,0.492795,-0.46974,1,1.806551,5.275617,1
-1.243506,-0.900029,0.222601,1,0.297525,4.688974,1
-0.148572,0.538239,0.367368,1,1.205878,0.429222,0
-0.683529,0.110903,-0.034329,1,1.158636,5.219949,1
