A,B,C,D,E,outcome,treatment
0.791572,-0.912687,-1.520668,0,0.350481,0.41377,0
0.652612,2.607366,-0.831079,1,0.949814,5.640853,1
-0.23192,0.418809,0.099068,1,0.213886,-0.005398,0
-0.785336,0.218597,-0.390568,1,0.770513,5.047749,1
-1.745974,1.084049,-0.789683,1,-0.133526,-0.634669,0
-1.040178,-0.453516,-1.263845,1,0.711435,4.911065,1
0.492791,0.199163,-3.587857,1,1.349819,5.68673,1
-0.463081,0.253653,0.010358,1,0.312665,4.984551,1
-0.677789,-0.314829,-0.940915,0,0.910721,0.135316,0
0.250528,1.396955,0.825373,1,1.040772,5.499959,1
0.907267,-0.021337,-0.289935,0,1.353964,5.819754,1
0.006197,-1.355815,-1.229088,0,0.767849,5.274277,1
0.063593,-0.10418,0.378907,1,1.987295,5.776236,1
1.120942,0.446496,0.463166,1,-1.19949,4.915759,1
-0.075367,-0.696176,-0.906995,1,3.839182,6.455631,1
-0.560209,-0.617278,0.505682,0,0.030295,4.802611,1
0.422206,-0.348942,-1.243271,1,1.304819,0.632312,0
-0.50755,1.418553,-0.528315,1,-0.037039,-0.169846,0
-0.618746,-0.289841,-0.116555,1,1.545697,5.390054,1
1.022814,1.626434,0.096819,1,1.177998,0.806214,0
-0.542873,-0.417633,-0.066441,1,0.250715,-0.064606,0
-2.906096,0.522331,-1.02062,1,1.974516,-0.17341,0
0.094598,-0.248926,0.405735,0,0.737468,0.312995,0
-0.646436,0.9514,-0.81239,1,1.448645,5.345313,1
-0.540057,-0.920957,-1.25699,1,-0.015731,4.802618,1
0.202016,0.940176,-1.242301,1,0.870541,5.443975,1
-0.416981,0.311186,1.252025,1,2.904836,6.000466,1
-0.035981,-0.442675,-1.429946,1,1.864395,0.694655,0
-2.273235,0.031096,0.603672,0,1.20905,4.719493,1
-1.193977,1.731172,-1.82343,1,0.452508,-0.217041,0
1.153039,0.335162,-0.200058,1,0.968928,0.744579,0
-0.269471,-0.505411,-0.39088,1,1.098995,0.314161,0
-1.924425,-1.007376,0.933264,1,1.350657,4.875294,1
-1.323452,0.702721,-1.342365,1,-0.175232,-0.510068,0
-1.243506,0.393162,-1.618627,1,1.569837,0.221584,0
-0.148572,0.892338,-0.804473,0,-0.188164,-0.121013,0
-0.683529,-1.264908,0.976839,1,2.532555,5.743467,1
-0.910102,-0.974943,-1.572121,1,0.129801,4.732645,1
-0.246983,1.344196,-3.27638,1,1.198057,5.411961,1
0.226834,0.528659,-0.628195,1,1.906572,5.81057,1
-0.509949,0.730718,0.26156,1,0.649049,0.075253,0
-0.825629,-0.76537,-1.701769,1,1.242029,5.209672,1
-0.672418,-0.78367,0.159969,1,2.336611,5.677212,1
0.088901,1.188576,-1.723874,1,1.465832,0.59624,0
-0.2583,1.235695,-0.834522,1,1.25698,5.433091,1
0.516377,-0.891002,0.064719,1,-0.783356,4.852446,1
-1.400713,-1.082053,-1.875428,1,-0.032293,4.527714,1
-1.026256,0.088724,-0.50645,1,1.948349,5.425855,1
0.522221,-0.602031,0.527011,0,1.471379,5.722533,1
-1.052748,-0.62286,-0.214029,1,1.622895,5.274217,1
1.133096,-1.054061,-1.408589,1,1.536826,5.95654,1
1.154285,-0.271117,0.830755,1,2.191186,6.237011,1
1.141406,-0.957378,-0.02957,0,0.640029,5.589471,1
-1.131561,-0.898084,-2.548411,0,1.021929,0.029641,0
-0.174025,0.495709,0.176281,1,-0.127245,-0.115608,0
-0.744352,0.142119,-1.259337,0,-0.376594,-0.396452,0
0.672243,0.682196,-0.491399,1,-0.742312,4.952501,1
1.455685,-1.451716,0.320041,1,0.016266,5.463833,1
0.622669,0.207198,-1.237568,0,2.453991,6.157333,1
-0.241776,2.272955,-2.333556,0,-0.651298,-0.334595,0
-0.616459,-0.174955,0.817582,1,0.597893,0.02544,0
0.398167,1.022066,0.47662,1,-0.391716,0.006864,0
-1.473794,1.013324,-0.775219,1,0.300455,4.65563,1
0.285416,1.062516,0.165458,1,1.071123,5.522453,1
-1.165611,0.363979,-1.05735,0,0.201313,-0.290544,0
0.369628,0.763403,-0.590993,1,1.991094,0.910485,0
-0.411857,0.896331,-0.832251,1,2.435407,5.848525,1
-0.639184,0.832763,-1.016907,1,-1.347667,-0.713743,0
-1.136432,-0.920101,-0.32866,1,0.218437,4.702263,1
-0.607665,-1.510067,-1.896142,1,0.960571,0.171482,0
0.305202,-1.356267,-0.939544,1,2.027546,0.887961,0
0.792941,-0.072843,-0.373484,0,0.447185,5.429929,1
0.275528,0.791244,1.150138,0,0.881494,5.444594,1
1.112967,-0.907094,-1.855497,1,-0.255315,5.260822,1
2.288243,1.121287,-0.16741,0,-0.631367,5.525398,1
-0.575411,-0.304958,-0.057814,0,2.346814,0.735338,0
-0.456787,-0.295438,-2.564682,0,-0.922641,4.491985,1
-1.690961,-0.63879,-0.277431,1,3.230048,5.680955,1
0.939807,-1.687469,0.192322,1,1.62658,5.892981,1
1.048477,0.426631,-0.09931,1,1.581402,5.955537,1
-1.118066,1.909985,-0.77189,1,1.476898,5.240398,1
0.366721,0.134652,-0.354723,1,0.648743,5.376863,1
0.966151,-1.653315,-0.518118,1,1.293514,5.78319,1
-0.024632,0.97766,-2.37742,1,0.712532,0.27655,0
0.596481,-1.427481,-0.494643,0,1.454502,5.730147,1
-0.076087,-1.011717,-1.055033,1,0.867742,5.296678,1
-1.467775,-0.041021,-1.392785,1,-0.048919,4.500074,1
0.798427,0.32016,1.797007,0,0.030856,0.291164,0
1.074186,-0.811347,0.564653,0,-0.082843,5.294947,1
0.483581,-0.079999,-1.838135,0,1.87233,0.91009,0
-1.205417,0.912479,-0.341327,0,0.283982,4.726589,1
-1.002099,1.049496,0.770062,1,-1.010674,-0.735732,0
-1.381348,1.448773,-2.184162,0,1.298268,5.077909,1
0.519057,2.106736,-0.61098,1,2.415947,6.183409,1
1.01747,1.007206,-0.56389,1,1.674512,6.013871,1
0.173566,-0.01942,-1.962456,1,0.298105,5.178715,1
0.689616,1.056631,-0.308413,1,-0.685383,4.986905,1
-1.118561,0.664033,0.428283,1,0.767161,4.936891,1
-0.105058,0.703684,0.820085,1,0.742205,5.27119,1
-1.620791,0.374536,-0.937327,0,-0.067771,-0.557824,0
-1.022701,-0.714737,1.813682,1,1.452466,5.235194,1
0.627754,-0.830779,-2.74593,1,2.748056,6.259758,1
-0.490515,0.100199,-0.331746,0,1.123712,0.273169,0
0.958462,0.346227,-2.100257,1,1.061905,5.722839,1
0.28704,-0.482124,-0.59778,1,-0.035799,5.072513,1
2.483502,0.620659,-1.20987,1,2.298844,6.724522,1
-0.157155,2.278083,-0.181086,1,0.826285,5.301168,1
-1.657325,-1.547014,-0.814844,1,0.322466,-0.413264,0
-0.28545,0.779561,-1.513947,0,0.965117,0.284736,0
-1.213936,0.131342,-1.448254,1,1.37339,5.149622,1
0.72626,0.647973,1.244496,1,1.040644,5.667859,1
-0.20894,-0.233398,-0.244439,0,2.107582,0.753528,0
-0.388192,0.051257,-2.390092,1,1.285401,0.363131,0
-0.375052,0.326817,-0.137175,1,0.617487,5.115424,1
0.489421,-0.104317,-0.88264,1,1.302621,5.683629,1
-0.703382,-1.323224,-0.683362,1,1.401066,5.292003,1
0.52613,-0.036598,0.131925,1,-0.394947,0.036108,0
0.794651,-1.219117,0.495264,1,2.050849,6.041634,1
-0.593062,0.85051,-1.546776,1,0.600525,5.063015,1
-1.176967,-1.668228,-0.717705,0,0.626106,4.836051,1
-0.763885,1.225971,-1.234074,1,1.652805,5.404247,1
0.459189,0.62688,-0.091101,1,1.648594,5.80769,1
-0.158441,0.630706,-0.920267,1,0.200597,5.025679,1
0.379155,-1.966993,-0.658712,1,1.704331,5.748509,1
1.512017,-0.131282,-0.95824,1,0.340981,5.632558,1
-0.019966,1.35088,-0.794083,1,2.721002,6.068658,1
-1.059857,-0.321291,1.016688,0,0.073235,-0.313395,0
0.806504,-0.880745,1.702803,1,1.140906,5.677403,1
-0.199559,-0.439353,-0.310871,1,0.119411,4.984266,1
0.621527,0.129039,-0.787933,1,3.124125,6.416705,1
0.815279,-0.654053,-2.2836,1,-0.336392,5.113709,1
-1.209928,1.431134,-1.448381,1,1.425792,5.171283,1
1.131085,0.132649,-0.814699,1,0.166519,5.432448,1
0.654202,-0.358252,-1.403026,1,0.547321,0.408664,0
-0.854824,-1.104027,-1.297864,1,1.354967,5.221366,1
0.053529,0.681764,0.887426,0,2.126013,0.856822,0
0.006287,0.658983,-0.659172,0,2.524826,5.996205,1
-0.226988,-0.594892,-0.569751,0,-0.635519,-0.333795,0
0.620994,-2.039012,-1.362154,0,1.16918,0.661384,0
1.186436,0.608079,0.489582,1,2.360923,1.310197,0
-0.243614,0.010514,-0.900542,0,-0.783882,-0.365706,0
1.079961,0.533388,-1.208827,1,1.215812,5.84571,1
0.737283,2.154492,-2.268714,0,0.899345,5.635661,1
-0.018624,0.170485,-0.749065,0,1.315971,5.518837,1
-0.074739,-0.316522,-1.240021,1,0.129125,5.018509,1
-1.403485,-0.950005,0.996617,0,-0.53419,-0.669063,0
-1.751688,-0.115105,1.155936,1,-1.011677,-0.951917,0
-0.085897,0.357894,-1.923243,1,1.877813,5.693782,1
-1.106849,0.250624,-1.810116,1,2.005478,5.432776,1
-0.290556,1.920782,-0.964283,1,1.204114,5.408821,1
-0.785583,0.696403,-1.504001,1,0.367281,-0.117413,0
-2.039417,0.062516,-0.470546,1,-0.721617,-0.955375,0
0.106385,-0.509244,-1.014586,0,1.464774,5.597515,1
-0.665452,0.46399,-0.407431,1,-0.19935,4.71242,1
-0.170721,-0.709691,0.328131,0,0.19013,5.000614,1
-1.14404,0.377148,-1.752185,0,0.314865,-0.259481,0
-0.585737,0.684731,0.307248,0,0.703894,5.075983,1
1.30946,-0.019135,-1.416615,0,0.142389,5.477239,1
-0.122369,-0.432969,1.46052,1,0.934888,5.310842,1
0.298656,-1.98798,0.933013,0,0.279611,0.208373,0
-1.521792,1.341154,-0.801043,0,1.602802,0.145083,0
2.138116,0.600617,-1.651546,1,1.932492,1.447795,0
1.592494,0.624934,-1.842829,1,1.009972,5.917147,1
1.112515,-1.364035,0.185666,1,1.364055,0.889065,0
0.577846,1.577156,-0.718366,1,3.019285,6.396923,1
-0.235777,-0.2679,0.238904,1,-0.271174,4.817896,1
0.191154,-0.091478,1.516266,1,-0.332039,-0.059398,0
0.7971,-0.87197,-1.458346,1,1.596427,5.875211,1
-0.87949,-1.589629,-1.918101,1,2.847972,5.800992,1
-0.695419,1.354663,-0.495403,0,0.64093,0.018889,0
-1.920052,1.483914,0.456797,1,2.628263,0.414907,0
-1.022739,0.031789,-1.628423,1,0.997863,5.050459,1
1.410382,-0.482068,-0.653338,1,0.220542,5.540412,1
-0.585167,-0.179727,0.682081,1,-0.089263,-0.21369,0
-0.568767,-0.152298,-2.320841,0,1.530843,0.415572,0
0.066847,-1.002543,-0.452645,1,-0.01353,4.975403,1
-1.863147,-0.094938,-1.228066,1,0.982706,4.770213,1
0.694462,0.350419,-0.563806,1,2.484894,6.211005,1
1.015487,1.215474,0.021821,1,0.594649,5.574042,1
0.126376,0.211561,-0.467154,0,2.215438,0.91206,0
1.400431,-1.379035,-1.698185,1,-0.313114,5.315197,1
-1.577752,0.550865,-1.189209,1,0.36752,-0.362312,0
1.592796,-0.058614,0.73863,1,-0.505715,5.317224,1
-0.981661,1.567727,-0.35903,1,0.974426,5.097161,1
-1.53084,1.626775,0.152356,1,1.681507,5.185308,1
-0.488312,1.661771,-0.437668,1,0.976616,5.269249,1
1.621086,-0.364271,0.121153,1,2.128479,1.388639,0
-0.270362,2.187172,-1.084109,1,0.15225,5.027141,1
-1.183512,0.54826,-1.455475,1,1.126772,0.05572,0
-1.545862,1.823697,0.075735,0,0.37396,-0.337976,0
-0.356039,-0.305303,0.439411,0,1.263106,0.381387,0
-2.245882,-0.10128,-1.602244,1,1.405165,4.800049,1
-1.551113,0.471344,-1.263908,0,1.483825,5.077949,1
1.292148,0.349195,-0.851189,1,-0.169165,5.371958,1
1.072344,1.452129,0.931862,1,0.011683,5.391708,1
-0.379332,-0.034812,-0.124828,0,0.197141,4.940517,1
-0.716585,1.361932,-2.01205,0,0.662548,0.012224,0
-0.192411,0.929552,-0.780946,0,0.988615,5.336117,1
2.097077,-0.016075,-0.933842,1,1.609518,6.319714,1
0.154056,0.851994,-1.861233,1,0.05333,5.093924,1
0.658818,-0.275948,-0.792755,0,-0.69959,-0.055119,0
-0.453378,2.547523,-0.978,1,3.057172,1.034043,0
-0.190023,-2.467015,-1.049596,1,-0.230024,-0.134553,0
0.396243,0.87026,-1.095344,1,1.737753,5.812568,1
-0.124825,-1.567279,0.783431,1,0.932696,5.306018,1
-2.148297,-0.02834,-1.051666,1,1.152735,4.751539,1
1.029621,0.111709,-0.638292,1,0.899878,5.703092,1
-0.866054,1.704951,-0.746728,0,0.516587,-0.08716,0
1.860398,-0.494835,-1.19298,1,1.365401,1.140533,0
0.435929,1.505329,-0.608458,1,0.462842,5.352089,1
-0.179948,-0.9815,-0.622612,1,2.067732,0.741802,0
0.188407,1.543987,-0.608206,1,1.46987,5.665687,1
-0.359418,-0.277028,-1.547196,1,1.501023,0.482725,0
-0.737353,0.270752,-0.894088,1,0.394306,4.903964,1
-0.043322,-0.139062,0.072359,0,0.665074,5.235717,1
0.63407,1.47968,-0.86778,1,-0.286484,5.116439,1
-0.71545,1.285057,-0.526181,0,0.548413,-0.021878,0
-0.873157,0.640819,-0.520926,1,-0.135147,4.67173,1
-0.606409,-0.954551,-0.270568,1,2.214498,5.6537,1
0.701091,-0.517705,-0.129312,1,0.951965,5.59137,1
1.20163,-0.83126,-0.862114,1,1.071926,5.79903,1
0.111094,-2.050826,-1.599298,0,0.676282,0.303885,0
0.330394,1.458635,-1.906678,1,1.099008,5.566356,1
-0.880621,-0.130507,0.329723,1,3.366307,6.027315,1
0.625835,-0.141177,0.082287,0,0.601289,5.435588,1
0.300817,1.693419,-0.038598,0,0.251016,0.212893,0
-0.961048,-0.278672,0.123241,0,1.431122,0.267848,0
-2.038592,-0.643154,-0.849519,1,-1.62429,3.69373,1
-1.47149,-0.027429,-1.312839,0,0.965386,-0.104106,0
-0.920123,-0.935352,-1.66837,1,0.529716,4.893343,1
0.911017,0.541673,-1.777313,1,-0.090884,0.252298,0
1.30194,-0.176345,0.524196,1,1.409187,5.974391,1
-0.690438,-0.309954,-1.181108,1,0.955417,5.132696,1
-0.658835,-0.396586,0.366896,1,-0.90098,4.430608,1
0.010703,0.091096,-0.874849,1,0.254899,5.097264,1
-0.238773,0.280798,-1.364204,0,-1.986842,-0.855796,0
0.680014,-0.322658,-1.782328,1,1.194698,5.663634,1
-0.774108,-0.161449,-1.276117,1,1.184728,5.192969,1
0.698223,0.115794,0.730276,1,0.108147,5.2768,1
-0.490145,0.014899,-1.772173,0,1.441542,5.392488,1
0.603055,0.228393,1.428784,1,-0.38107,5.064205,1
-0.52196,-0.479354,-1.52857,1,-0.065088,4.78495,1
-0.864015,1.20191,0.061987,0,1.318619,0.23495,0
1.661398,0.294145,-0.833214,0,0.212762,5.625559,1
0.814307,-0.30653,-1.008523,1,0.838772,5.591879,1
-2.042965,0.541701,-1.959384,1,0.33778,4.456552,1
-0.697694,0.122948,-0.786356,0,0.490498,4.960103,1
0.954003,-1.536509,-1.846249,1,0.534205,5.483602,1
-1.44758,0.53827,-2.36954,1,0.194672,4.620136,1
0.519758,-0.822189,-0.568364,0,1.203879,5.628621,1
0.416136,1.131745,-1.323386,1,0.273501,5.251939,1
-0.950067,-0.044433,0.996386,1,0.917116,5.042913,1
-0.259737,0.977387,0.312059,1,0.172697,-0.025608,0
-2.340938,-0.432902,1.009469,1,-0.63287,3.987232,1
1.519512,0.267246,-1.368846,1,1.813864,6.222639,1
-0.560013,1.407561,-0.551825,0,1.400956,5.374204,1
0.552893,-0.0717,-3.308634,1,3.190111,1.432395,0
0.362921,-0.3935,-0.969765,1,-0.142544,0.055233,0
1.106961,0.852358,-0.589465,1,0.692469,0.630215,0
-0.684223,0.832979,-0.533915,1,0.772922,5.092744,1
-0.047097,-0.351432,-0.730331,0,1.890798,5.732759,1
0.308189,-1.788144,-0.62137,1,0.394321,5.211043,1
0.621622,-0.412706,-3.401206,1,-0.269613,5.09938,1
0.903434,0.874677,-0.431741,1,2.109238,6.122688,1
-0.728302,-0.577717,-0.204523,1,0.584779,4.965759,1
-0.915147,0.186379,0.650062,1,1.780073,5.397216,1
1.109191,-0.460168,-0.319225,1,1.663627,6.003402,1
-2.287996,-1.73485,-0.8187,0,0.871539,-0.438997,0
1.319112,-0.478164,0.416979,1,0.727115,5.718417,1
-0.553244,0.870449,-3.045297,1,0.509864,5.012196,1
-0.255483,-2.172935,-1.202912,0,0.886236,0.260039,0
-0.933263,0.449484,-1.453773,0,1.764529,0.394711,0
-0.299115,-0.988752,-0.722485,1,0.104989,4.94634,1
1.020218,0.805759,-2.886656,1,1.010275,5.739624,1
0.519943,0.911636,0.631673,1,-0.217202,5.088664,1
0.241766,0.025369,-0.937773,1,-0.092677,5.056549,1
-0.162047,0.027649,-0.369166,0,0.87049,5.295172,1
-1.69653,-0.609046,-0.464872,1,-1.058729,-0.973642,0
-1.095057,-1.148266,0.574527,1,2.961988,5.767171,1
-0.594121,1.89541,-2.549913,0,-0.291631,4.720012,1
0.206756,-0.667754,-0.575642,0,0.86134,5.387373,1
-0.181267,1.765113,0.458215,0,2.069647,0.75004,0
0.732584,-0.662183,-0.785949,0,0.038524,0.249558,0
0.222707,0.722507,-1.639232,1,-1.401268,-0.477293,0
-0.196569,-0.94049,-1.291853,1,0.456483,5.102131,1
2.024841,0.720712,-1.080905,1,0.026609,5.673014,1
0.155307,-0.12827,-1.409013,1,-1.374945,4.509089,1
-0.682862,-0.115199,-0.840774,1,1.186319,5.21935,1
1.609047,0.80734,0.820284,1,1.108523,5.975718,1
0.949492,-0.271824,-1.285328,1,2.043755,6.083059,1
1.565168,-1.230831,-1.175637,0,-0.219393,5.413509,1
-0.361852,0.958623,-0.228182,1,-0.697707,-0.403616,0
0.725389,-0.948584,-0.862783,0,0.494706,5.395035,1
-1.703769,0.713834,-2.017148,1,0.813086,-0.245519,0
0.533086,1.170314,-0.749151,1,1.822779,0.902045,0
-0.408644,-0.178177,-0.786854,1,2.311997,5.770506,1
-1.605978,1.37967,0.287715,1,2.115908,5.304448,1
0.78168,0.679101,-1.660115,1,1.177973,5.714563,1
-2.061051,-0.498544,0.294356,0,1.700928,-0.017094,0
-2.163627,1.598746,-0.785794,1,0.260936,-0.585396,0
0.111556,-0.944355,-1.795905,1,1.069824,5.42624,1
0.320428,-0.179383,-1.996741,1,-0.289861,4.97946,1
0.719604,-0.008998,1.246426,1,0.964114,5.626669,1
0.491043,0.802541,-0.847879,0,0.990076,0.548683,0
1.225739,1.31275,0.248541,0,2.623558,6.459219,1
0.449323,1.250109,-2.396082,1,0.672446,5.425525,1
-0.383219,0.421065,1.949732,1,0.991472,5.267508,1
-0.324531,-0.082952,0.205282,1,1.13839,5.348693,1
-0.533141,-1.628667,-0.943403,0,0.446609,4.967134,1
0.044558,-1.116829,-0.994129,1,0.098936,5.043402,1
-1.348266,1.963972,0.046635,1,2.20024,0.41898,0
0.090002,-1.638755,-0.010781,0,-0.079488,-0.011853,0
-0.337334,-0.587174,-0.505434,1,-0.426489,4.712039,1
0.024715,1.341923,-0.677084,0,1.581694,5.659344,1
0.027803,0.40703,-0.126896,1,2.059244,5.825721,1
-2.703185,1.125362,-2.429667,1,0.450019,4.309709,1
-1.152214,0.740145,-1.059238,1,0.465376,4.798492,1
-0.359549,1.6669,-2.334827,0,1.183973,5.356729,1
-0.306405,0.492744,-0.083371,0,0.193576,-0.040886,0
0.008469,0.860765,-1.363777,1,0.119716,5.060485,1
0.051428,-0.52693,-2.259541,1,1.781022,5.697062,1
1.265313,0.78365,-1.48175,1,1.50856,6.002578,1
0.061538,-0.198809,-0.538607,0,2.212588,5.888672,1
-0.563944,-0.255789,-0.893191,1,-0.35116,-0.33436,0
-1.850043,1.092041,-1.86112,1,0.398967,-0.464888,0
-1.61951,1.09894,-2.392832,1,1.182609,-0.06941,0
0.284572,1.885759,-0.61403,0,-0.024192,0.093623,0
0.809527,1.82058,-1.268731,0,1.543116,0.887171,0
1.290451,1.114632,-0.946044,1,2.126056,1.257248,0
-1.078813,-1.523129,-0.847648,1,0.318071,4.757364,1
-0.554784,2.024998,-0.257897,0,0.940021,0.172193,0
-0.008586,1.115285,0.158984,1,2.357048,5.958021,1
1.796479,-0.568543,-0.541454,1,2.700701,1.622607,0
-0.136059,0.926226,-1.008426,0,1.64723,0.592095,0
1.300343,-0.839949,-0.663199,1,1.494858,5.998582,1
-0.080947,0.815947,-1.0272,1,0.047692,4.991316,1
0.902325,-1.118953,-2.330516,1,1.260638,5.756706,1
0.77566,-0.610901,0.403983,0,1.45825,5.800118,1
-0.084832,0.907246,0.215476,1,0.691059,5.255358,1
-1.271303,1.270204,1.300371,0,0.306653,4.740698,1
-0.520014,0.522754,1.592536,1,-0.379869,4.691487,1
1.238125,-0.088852,-1.863983,1,-0.836301,5.073857,1
0.626905,-1.917549,-1.023363,1,-1.046455,4.732998,1
-0.68457,-0.011704,1.823577,0,1.480872,5.356916,1
-0.593229,0.730802,-0.728514,1,1.049128,5.235846,1
-1.981793,-0.119448,-0.443752,0,0.417618,-0.504116,0
1.193419,0.174739,-2.209093,1,0.569973,5.615983,1
0.635144,0.0117,-0.537674,1,1.1119,0.643375,0
-0.387998,-0.124389,1.243977,1,0.736866,5.167164,1
-0.050786,0.273194,0.598663,0,-0.439124,4.810154,1
-2.421786,-0.075378,-1.297948,1,1.814429,-0.095955,0
-0.737634,1.640607,-1.084279,1,1.205555,5.254067,1
1.083526,-2.009102,-1.818863,1,1.167327,5.785158,1
0.730627,-0.348526,-1.539126,0,1.738992,0.927502,0
0.079781,-0.672939,-2.598175,1,0.087784,5.047503,1
-0.265638,0.416428,-0.772783,0,2.11516,5.754968,1
0.545485,0.274462,0.822148,1,0.761386,5.45696,1
-0.532305,1.81951,-0.332531,1,1.790028,0.530756,0
-1.915613,2.148459,0.678276,1,1.635878,-0.00198,0
-0.257119,-0.575766,0.385286,0,-0.137373,4.869026,1
0.152199,0.197817,-1.234771,0,1.404329,5.590093,1
0.871758,0.393621,-1.44747,1,1.227704,5.763013,1
-1.692116,-0.600497,-1.409148,1,0.931741,4.802507,1
-0.373831,0.825699,-2.405025,1,0.807057,5.213948,1
-0.326224,-0.04219,-0.655633,1,0.815536,0.206296,0
-1.352172,-0.870318,-3.592427,1,1.714118,5.2118,1
0.236753,-0.082251,-0.096547,1,1.47934,5.657376,1
0.496448,-0.800358,-0.616082,1,0.931908,5.514739,1
-0.541612,1.233964,-0.216523,1,-0.590507,-0.411693,0
1.804173,2.098876,0.369053,1,1.395872,6.179881,1
-0.57028,0.442136,-0.489168,0,1.625043,5.468482,1
-0.697603,0.308594,0.943609,1,3.201839,6.012211,1
-0.726591,0.349752,-0.066017,1,1.976862,0.523523,0
-1.066419,1.379551,-1.44509,0,-0.997747,4.287807,1
-0.809945,1.358016,-0.925674,1,0.979858,0.105606,0
-1.685009,0.081663,-2.949254,1,2.712804,5.487882,1
-0.442453,0.449907,-1.590153,1,1.524978,5.468425,1
-0.193446,0.849963,-1.068959,1,1.230081,0.393511,0
-2.533722,-0.94037,-0.141689,1,1.801658,4.849428,1
-0.35287,1.409925,-1.438324,1,0.279051,0.000602,0
-0.208786,1.932149,-1.934227,0,1.379519,5.507957,1
0.263669,1.362349,-2.575495,1,0.650961,5.361787,1
0.953715,-1.048277,-1.284381,1,0.881806,5.625591,1
0.600434,-1.772683,1.262889,1,1.729884,0.874264,0
-0.871284,0.906036,-0.416856,1,-0.025284,-0.305422,0
