W0,W1,Z0,X0,t,t_bin,y,noise_t,noise_y,noise_y_t0,noise_y_t1,R0
0.848727,0.629033,1,-0.986568,0.968253,1,5.480202,-0.828916,-0.02462,0.008365,-0.028388,-1.495103
-0.428652,-1.193729,1,-0.51723,-0.412175,1,4.376776,-1.365141,-0.007888,0.000119,-0.010294,0.31542
-0.661303,1.155603,1,-0.064388,0.477615,1,5.229553,-0.71053,-0.002613,-0.003076,0.015751,-0.566148
0.928796,0.642179,1,1.026447,-0.738104,0,0.565556,-2.573524,0.010824,0.004434,-0.006867,0.857294
-1.149128,2.135116,1,0.169985,0.801702,1,5.44564,-0.3071,-0.012584,0.001013,-0.005116,1.726254
0.583875,1.550353,1,-0.458879,1.276354,1,5.774444,-0.53424,-0.012386,-0.007929,0.012737,-1.158207
0.045641,-0.490567,1,-0.535576,1.421156,1,4.823388,0.150911,0.009606,0.02461,-0.007929,-1.117027
-1.28875,0.063042,1,0.127739,0.789473,1,4.590636,0.044608,-0.013752,0.007408,0.007634,-0.934205
-0.326724,1.422093,0,1.087305,1.31506,1,5.465543,1.25708,-0.00179,0.001271,0.011742,-0.092261
0.722044,1.748508,0,1.788336,3.175675,1,5.949969,2.59431,-0.001587,-0.005136,0.004785,0.638007
0.544675,2.12393,0,-0.008452,1.692853,0,1.008235,1.137539,0.002176,0.009528,-0.014449,-1.340771
1.244514,2.115938,1,0.152574,1.739392,1,6.227786,-0.453108,-0.007498,-0.007876,-0.00604,-0.306719
0.087261,0.811906,1,-1.016625,0.984675,0,0.335654,-0.493391,-0.00927,-0.008718,0.027136,-0.82389
3.121376,1.264085,1,2.13651,3.789509,1,6.559443,0.868663,0.003349,0.016933,-0.004905,-0.069854
-1.171311,2.200168,0,-1.203686,-1.895862,0,0.464141,-1.683345,-0.00896,0.000307,0.029863,0.821495
-0.649558,0.598121,1,1.368979,0.797408,1,5.032157,-0.315203,-0.0136,-0.007633,0.01709,-0.928291
-0.311784,1.281155,1,-0.168019,1.126851,1,5.406016,-0.238153,0.012278,5.7e-05,0.005191,-2.357831
-1.66967,0.574548,1,-0.402049,1.230292,1,4.673693,0.584131,0.004881,0.008502,0.002972,0.055939
0.791572,0.350481,0,-0.912687,1.024001,0,0.41377,0.613866,0.017675,0.006213,-0.004648,-1.520668
0.652612,0.949814,1,2.607366,1.010123,1,5.640853,-0.744561,0.00784,0.009743,-0.000889,-0.831079
-0.23192,0.213886,1,0.418809,0.83207,0,-0.005398,-0.414373,-0.012681,-0.012496,-0.006887,0.099068
-0.785336,0.770513,1,0.218597,1.521091,1,5.047749,0.445104,0.000964,0.009491,-0.000636,-0.390568
-1.745974,-0.133526,1,1.084049,-0.290103,0,-0.634669,-0.798921,-0.010156,-0.001791,-0.013622,-0.789683
-1.040178,0.711435,1,-0.453516,2.157863,1,4.911065,1.206118,-0.016516,0.000891,-0.014158,-1.263845
0.492791,1.349819,1,0.199163,2.349338,1,5.68673,0.609175,-0.004472,0.012095,0.01301,-3.587857
-0.463081,0.312665,1,0.253653,1.327356,1,4.984551,0.17151,0.009815,0.007027,-0.016123,0.010358
-0.677789,0.910721,0,-0.314829,0.215395,0,0.135316,0.390941,0.002749,0.003511,0.008861,-0.940915
0.250528,1.040772,1,1.396955,1.11848,1,5.499959,-0.466891,-0.013909,-0.01984,-0.018944,0.825373
0.907267,1.353964,0,-0.021337,-0.018083,1,5.819754,-0.626291,-0.004823,-0.000455,0.006296,-0.289935
0.006197,0.767849,0,-1.355815,-0.31053,1,5.274277,-0.424722,-0.001429,-0.007847,-0.002076,-1.229088
0.063593,1.987295,1,-0.10418,2.137784,1,5.776236,0.499967,-0.016891,0.00711,0.013213,0.378907
1.120942,-1.19949,1,0.446496,1.856509,1,4.915759,0.201015,0.007132,0.00991,-0.00332,0.463166
-0.075367,3.839182,1,-0.696176,1.420652,1,6.455631,-0.422714,-0.002287,-0.00302,-0.020095,-0.906995
-0.560209,0.030295,0,-0.617278,0.499696,1,4.802611,0.749582,-0.013906,-0.00667,-0.00188,0.505682
0.422206,1.304819,1,-0.348942,1.52765,0,0.632312,-0.173946,-0.014472,0.015563,0.001597,-1.243271
-0.50755,-0.037039,1,1.418553,0.391626,0,-0.169846,-0.693311,0.011007,-0.006031,-0.00132,-0.528315
-0.618746,1.545697,1,-0.289841,1.518388,1,5.390054,0.254342,-0.003808,-0.011945,0.005751,-0.116555
1.022814,1.177998,1,1.626434,0.942788,0,0.806214,-1.01303,0.011904,-0.008327,-0.005644,0.096819
-0.542873,0.250715,1,-0.417633,-0.57658,0,-0.064606,-1.687224,0.015722,-0.00555,-0.012634,-0.066441
-2.906096,1.974516,1,0.522331,0.282911,0,-0.17341,-0.005105,0.010224,-0.008614,-0.009996,-1.02062
0.094598,0.737468,0,-0.248926,-0.507503,0,0.312995,-0.657414,-0.005334,0.008454,-0.005158,0.405735
-0.646436,1.448645,1,0.9514,0.983246,1,5.345313,-0.254154,-0.024978,-0.021979,-0.005243,-0.81239
-0.540057,-0.015731,1,-0.920957,0.106539,1,4.802618,-0.966733,0.00313,-0.008826,0.024061,-1.25699
0.202016,0.870541,1,0.940176,2.74759,1,5.443975,1.208932,0.020916,-0.000475,0.012551,-1.242301
-0.416981,2.904836,1,0.311186,0.891284,1,6.000466,-0.661493,-0.000354,0.002102,0.006867,1.252025
-0.035981,1.864395,1,-0.442675,1.142794,0,0.694655,-0.431999,-0.019898,0.016918,0.00446,-1.429946
-2.273235,1.20905,0,0.031096,-0.478565,1,4.719493,0.377883,-0.006749,0.015452,0.002998,0.603672
-1.193977,0.452508,1,1.731172,-0.532238,0,-0.217041,-1.376614,-0.001837,-0.016007,0.00305,-1.82343
1.153039,0.968928,1,0.335162,0.534051,0,0.744579,-1.45055,-0.01098,-0.01908,0.001633,-0.200058
-0.269471,1.098995,1,-0.505411,1.73874,0,0.314161,0.380953,-0.02564,0.00025,0.000401,-0.39088
-1.924425,1.350657,1,-1.007376,0.198157,1,4.875294,-0.444948,-0.000979,-0.006732,-0.020919,0.933264
-1.323452,-0.175232,1,0.702721,-0.206944,0,-0.510068,-0.901495,-0.007849,-0.01192,-0.003691,-1.342365
-1.243506,1.569837,1,0.393162,1.587341,0,0.221584,0.603373,0.017727,0.000161,-0.002403,-1.618627
-0.148572,-0.188164,0,0.892338,-0.906653,0,-0.121013,-0.811922,0.00101,0.002307,-0.00749,-0.804473
-0.683529,2.532555,1,-1.264908,1.103277,1,5.743467,-0.274512,0.004696,-0.00839,-0.005561,0.976839
-0.910102,0.129801,1,-0.974943,0.030287,1,4.732645,-0.89613,-0.001191,-0.006241,0.003007,-1.572121
-0.246983,1.198057,1,1.344196,1.685801,1,5.411961,0.303437,0.000937,-0.00762,0.007676,-3.27638
0.226834,1.906572,1,0.528659,3.032279,1,5.81057,1.332076,-0.016523,-0.004115,0.002992,-0.628195
-0.509949,0.649049,1,0.730718,-0.677672,0,0.075253,-1.86104,-0.010402,0.005414,0.007424,0.26156
-0.825629,1.242029,1,-0.76537,1.238751,1,5.209672,0.112658,0.010886,-0.010779,0.007601,-1.701769
-0.672418,2.336611,1,-0.78367,2.210998,1,5.677212,0.856588,0.002095,-0.006407,-0.002997,0.159969
0.088901,1.465832,1,1.188576,1.152186,0,0.59624,-0.421478,-0.003985,-0.003993,0.005253,-1.723874
-0.2583,1.25698,1,1.235695,0.254732,1,5.433091,-1.131042,0.004862,-6.8e-05,-0.017464,-0.834522
0.516377,-0.783356,1,-0.891002,1.862406,1,4.852446,0.420964,0.005059,0.00276,-0.003843,0.064719
-1.400713,-0.032293,1,-1.082053,1.68187,1,4.527714,1.001654,0.019909,0.020423,-0.005019,-1.875428
-1.026256,1.948349,1,0.088724,2.028005,1,5.425855,0.890522,0.001631,0.005721,0.015313,-0.50645
0.522221,1.471379,0,-0.602031,0.816376,1,5.722533,0.365909,-0.010625,0.005959,0.003371,0.527011
-1.052748,1.622895,1,-0.62286,1.176164,1,5.274217,0.097914,-0.001157,-0.002666,-0.013345,-0.214029
1.133096,1.536826,1,-1.054061,1.158912,1,5.95654,-0.899013,0.006076,-0.009799,0.005946,-1.408589
1.154285,2.191186,1,-0.271117,3.027705,1,6.237011,0.865245,0.009957,-0.005282,0.009098,0.830755
1.141406,0.640029,0,-0.957378,1.420882,1,5.589471,0.809957,-0.01615,-0.007103,-0.000897,-0.02957
-1.131561,1.021929,0,-0.898084,-1.503441,0,0.029641,-1.138058,0.002537,0.003922,0.006903,-2.548411
-0.174025,-0.127245,1,0.495709,1.587719,0,-0.115608,0.36448,-0.008973,-0.016513,-0.024957,0.176281
-0.744352,-0.376594,0,0.142119,0.260334,0,-0.396452,0.652824,-0.005666,0.005925,-0.026993,-1.259337
0.672243,-0.742312,1,0.682196,2.400258,1,4.952501,0.882114,0.008458,-0.001172,-0.011787,-0.491399
1.455685,0.016266,1,-1.451716,1.908795,1,5.463833,-0.07499,0.007462,0.007333,0.00149,0.320041
0.622669,2.453991,0,0.207198,-0.218975,1,6.157333,-0.857568,-0.006782,-0.007239,0.015322,-1.237568
-0.241776,-0.651298,0,2.272955,-0.706332,0,-0.334595,-0.502116,-0.001578,-0.009014,-0.011264,-2.333556
-0.616459,0.597893,1,-0.174955,0.120352,0,0.02544,-1.00725,-0.005361,-0.004067,-0.008537,0.817582
0.398167,-0.391716,1,1.022066,1.393535,0,0.006864,-0.051061,0.028917,-0.004306,0.000886,0.47662
-1.473794,0.300455,1,1.013324,0.448426,1,4.65563,-0.246885,0.002784,0.008063,-0.004923,-0.775219
0.285416,1.071123,1,1.062516,3.750645,1,5.522453,2.145036,-0.008395,0.007968,-0.005492,0.165458
-1.165611,0.201313,0,0.363979,0.394805,0,-0.290544,0.894677,0.013222,0.01905,-0.004215,-1.05735
0.369628,1.991094,1,0.763403,2.746826,0,0.910485,0.969548,0.013575,-0.004955,0.013148,-0.590993
-0.411857,2.435407,1,0.896331,1.958362,1,5.848525,0.471352,0.017917,-0.033476,0.011161,-0.832251
-0.639184,-1.347667,1,0.832763,0.467758,0,-0.713743,-0.367318,0.02088,-0.004094,0.000235,-1.016907
-1.136432,0.218437,1,-0.920101,0.561153,1,4.702263,-0.27539,0.007077,0.002307,0.016545,-0.32866
-0.607665,0.960571,1,-1.510067,1.000332,0,0.171482,-0.183869,-0.003499,0.007145,0.00509,-1.896142
0.305202,2.027546,1,-1.356267,1.941556,0,0.887961,0.188233,-0.002026,0.003036,0.011539,-0.939544
0.792941,0.447185,0,-0.072843,0.813953,1,5.429929,0.38917,-0.002921,-0.004963,-0.008605,-0.373484
0.275528,0.881494,0,0.791244,0.253636,1,5.444594,0.000709,-0.004038,0.017142,-0.006537,1.150138
1.112967,-0.255315,1,-0.907094,1.498232,1,5.260822,-0.290598,0.012399,-0.010337,-0.006644,-1.855497
2.288243,-0.631367,0,1.121287,0.35294,1,5.525398,-0.594116,7e-06,-0.002746,-0.000867,-0.16741
-0.575411,2.346814,0,-0.304958,-1.313414,0,0.735338,-1.392649,0.009714,-0.010799,0.000599,-0.057814
-0.456787,-0.922641,0,-0.295438,0.94221,1,4.491985,1.283379,0.006765,0.000196,0.003242,-2.564682
-1.690961,3.230048,1,-0.63879,3.227217,1,5.680955,2.20553,-0.010987,0.01589,0.019731,-0.277431
0.939807,1.62658,1,-1.687469,3.182546,1,5.892981,1.199337,-0.017172,-0.001409,0.007213,0.192322
1.048477,1.581402,1,0.426631,0.766916,1,5.955537,-1.259066,-0.012367,-0.001348,-0.005148,-0.09931
-1.118066,1.476898,1,1.909985,1.814441,1,5.240398,0.787017,-0.004267,-0.01696,-3.3e-05,-0.77189
0.366721,0.648743,1,0.134652,2.605021,1,5.376863,1.023776,0.001343,-0.00287,0.015049,-0.354723
0.966151,1.293514,1,-1.653315,1.543416,1,5.78319,-0.403438,-0.006483,0.011505,0.007819,-0.518118
-0.024632,0.712532,1,0.97766,1.90179,0,0.27655,0.488927,0.007031,-0.002502,0.014918,-2.37742
0.596481,1.454502,0,-1.427481,0.025422,1,5.730147,-0.456303,-0.005277,-0.003178,-0.004827,-0.494643
-0.076087,0.867742,1,-1.011717,2.940949,1,5.296678,1.528929,0.00257,0.011057,-0.007117,-1.055033
-1.467775,-0.048919,1,-0.041021,1.012736,1,4.500074,0.365371,0.001176,-0.003136,-0.00697,-1.392785
0.798427,0.030856,0,0.32016,-0.550272,0,0.291164,-0.917155,0.017344,0.012921,-0.00402,1.797007
1.074186,-0.082843,0,-0.811347,1.145366,1,5.294947,0.669808,-0.009752,-0.012846,-0.010633,0.564653
0.483581,1.87233,0,-0.079999,1.549868,0,0.91009,1.058781,0.022084,0.006779,0.002952,-1.838135
-1.205417,0.283982,0,0.912479,-0.307817,1,4.726589,0.198132,-0.005943,0.016463,0.003124,-0.341327
-1.002099,-1.010674,1,1.049496,1.198671,0,-0.735732,0.479442,-0.013401,0.010079,0.013388,0.770062
-1.381348,1.298268,0,1.448773,-0.508431,1,5.077909,-0.069753,-0.002169,-0.018673,-0.017603,-2.184162
0.519057,2.415947,1,2.106736,0.77245,1,6.183409,-1.13428,0.032401,-0.006383,-0.009441,-0.61098
1.01747,1.674512,1,1.007206,1.873679,1,6.013871,-0.151734,0.008952,-0.00242,0.008056,-0.56389
0.173566,0.298105,1,-0.01942,1.96575,1,5.178715,0.52304,0.00603,0.0101,0.001835,-1.962456
0.689616,-0.685383,1,1.056631,1.406261,1,4.986905,-0.128027,0.007952,-0.013316,0.000448,-0.308413
-1.118561,0.767161,1,0.664033,1.725015,1,4.936891,0.800765,-0.007696,-0.010189,0.012639,0.428283
-0.105058,0.742205,1,0.703684,0.988479,1,5.27119,-0.392182,0.00326,-0.016052,-0.0101,0.820085
-1.620791,-0.067771,0,0.374536,-1.072102,0,-0.557824,-0.326591,2.5e-05,-0.008258,-0.007287,-0.937327
-1.022701,1.452466,1,-0.714737,1.898287,1,5.235194,0.83112,0.018091,-0.012516,-0.008465,1.813682
0.627754,2.748056,1,-0.830779,2.226095,1,6.259758,0.221853,-0.001087,0.015979,-0.020129,-2.74593
-0.490515,1.123712,0,0.100199,-0.471368,0,0.273169,-0.411722,-0.003783,-0.006474,0.001328,-0.331746
0.958462,1.061905,1,0.346227,2.943574,1,5.722839,1.033805,-0.011648,0.006909,-0.005229,-2.100257
0.28704,-0.035799,1,-0.482124,0.757047,1,5.072513,-0.688736,0.0014,0.00018,-0.007329,-0.59778
2.483502,2.298844,1,0.620659,2.054461,1,6.724522,-0.726949,0.00293,4e-05,-0.009134,-1.20987
-0.157155,0.826285,1,2.278083,-1.460239,1,5.301168,-2.829449,-0.012016,-0.005914,-0.000177,-0.181086
-1.657325,0.322466,1,-1.547014,0.06123,0,-0.413264,-0.553969,0.004532,0.0077,-0.007985,-0.814844
-0.28545,0.965117,0,0.779561,1.319145,0,0.284736,1.308717,0.002332,0.001543,0.002216,-1.513947
-1.213936,1.37339,1,0.131342,-1.103398,1,5.149622,-2.072293,0.010134,0.000967,0.004592,-1.448254
0.72626,1.040644,1,0.647973,0.849367,1,5.667859,-0.95192,0.012124,-0.005934,-0.002946,1.244496
-0.20894,2.107582,0,-0.233398,0.649944,0,0.753528,0.439069,0.000943,-0.004298,-0.003625,-0.244439
-0.388192,1.285401,1,0.051257,-0.913928,0,0.363131,-2.244867,-0.010364,0.005889,0.001855,-2.390092
-0.375052,0.617487,1,0.326817,0.72932,1,5.115424,-0.510699,-0.008306,0.002301,-0.000288,-0.137175
0.489421,1.302621,1,-0.104317,2.87265,1,5.683629,1.140863,0.017621,0.001235,0.013302,-0.88264
-0.703382,1.401066,1,-1.323224,3.247676,1,5.292003,2.043026,0.001655,-0.00754,0.003183,-0.683362
0.52613,-0.394947,1,-0.036598,1.792456,0,0.036108,0.290247,0.017462,0.019441,0.010956,0.131925
0.794651,2.050849,1,-1.219117,1.052398,1,6.041634,-0.926467,0.004986,-0.004797,0.006105,0.495264
-0.593062,0.600525,1,0.85051,0.178475,1,5.063015,-0.960129,0.007537,-0.000303,-0.013184,-1.546776
-1.176967,0.626106,0,-1.668228,-0.2985,1,4.836051,0.144908,0.009387,-0.00187,-0.005583,-0.717705
-0.763885,1.652805,1,1.225971,1.494667,1,5.404247,0.280963,-0.012231,0.019547,-0.000481,-1.234074
0.459189,1.648594,1,0.62688,3.626178,1,5.80769,1.857929,0.00307,-0.002908,0.008684,-0.091101
-0.158441,0.200597,1,0.630706,2.248673,1,5.025679,0.970805,-0.01237,-0.003823,0.019278,-0.920267
0.379155,1.704331,1,-1.966993,1.824113,1,5.748509,0.084106,-0.002849,0.001183,-0.004841,-0.658712
1.512017,0.340981,1,-0.131282,1.721248,1,5.632558,-0.335207,0.006402,-0.006935,0.000553,-0.95824
-0.019966,2.721002,1,1.35088,4.721028,1,6.068658,3.014712,-0.010253,0.001116,0.007999,-0.794083
-1.059857,0.073235,0,-0.321291,0.156147,0,-0.313395,0.626595,0.005593,0.023716,-0.000578,1.016688
0.806504,1.140906,1,-0.880745,1.183502,1,5.677403,-0.668752,-0.014984,0.002997,0.016441,1.702803
-0.199559,0.119411,1,-0.439353,1.022805,1,4.984266,-0.224623,0.011433,0.002632,-0.013478,-0.310871
0.621527,3.124125,1,0.129039,1.178511,1,6.416705,-0.877455,-0.006644,-0.007179,0.00678,-0.787933
0.815279,-0.336392,1,-0.654053,-0.762601,1,5.113709,-2.40455,-0.010271,0.017092,0.006682,-2.2836
-1.209928,1.425792,1,1.431134,1.290966,1,5.171283,0.312651,-0.014354,0.01939,0.01152,-1.448381
1.131085,0.166519,1,0.132649,3.640697,1,5.432448,1.782454,-0.005794,0.008527,0.000621,-0.814699
0.654202,0.547321,1,-0.358252,0.066465,0,0.408664,-1.630557,-0.019076,0.006538,0.008915,-1.403026
-0.854824,1.354967,1,-1.104027,1.184486,1,5.221366,0.055263,-0.005484,-0.002348,-0.002491,-1.297864
0.053529,2.126013,0,0.681764,-0.374221,0,0.856822,-0.706905,0.010995,0.003913,-0.008014,0.887426
0.006287,2.524826,0,0.658983,0.890592,1,5.996205,0.521503,-0.001887,-0.008352,-0.009472,-0.659172
-0.226988,-0.635519,0,-0.594892,-0.367545,0,-0.333795,-0.17233,-0.011775,-0.011261,-0.014414,-0.569751
0.620994,1.16918,0,-2.039012,-0.90859,0,0.661384,-1.360055,0.002263,-0.014874,-0.004414,-1.362154
1.186436,2.360923,1,0.608079,1.22057,0,1.310197,-0.981104,0.001379,0.004107,0.003115,0.489582
-0.243614,-0.783882,0,0.010514,-1.054582,0,-0.365706,-0.830301,0.019566,-0.013784,-0.002081,-0.900542
1.079961,1.215812,1,0.533388,3.33156,1,5.84571,1.344318,0.007907,-0.004996,0.00198,-1.208827
0.737283,0.899345,0,2.154492,1.758367,1,5.635661,1.293259,0.003056,-0.000612,0.012349,-2.268714
-0.018624,1.315971,0,0.170485,-0.128914,1,5.518837,-0.311348,0.009051,0.009953,-0.005175,-0.749065
-0.074739,0.129125,1,-0.316522,2.533296,1,5.018509,1.227803,-0.001344,-0.005782,0.023403,-1.240021
-1.403485,-0.53419,0,-0.950005,-0.887715,0,-0.669063,-0.173184,-0.000754,0.011133,0.007552,0.996617
-1.751688,-1.011677,1,-0.115105,0.052182,0,-0.951917,-0.326663,0.016589,0.009392,-0.001969,1.155936
-0.085897,1.877813,1,0.357894,1.6112,1,5.693782,0.057118,-0.016356,-0.010713,-0.002196,-1.923243
-1.106849,2.005478,1,0.250624,1.394014,1,5.432776,0.284825,0.009679,0.011228,-0.010081,-1.810116
-0.290556,1.204114,1,1.920782,0.80802,1,5.408821,-0.555445,-0.001108,-0.002836,-0.000257,-0.964283
-0.785583,0.367281,1,0.696403,1.039251,0,-0.117413,0.021866,-0.002915,-0.00499,-0.021616,-1.504001
-2.039417,-0.721617,1,0.062516,1.077641,0,-0.955375,0.787323,-0.005529,-0.002794,0.012558,-0.470546
0.106385,1.464774,0,-0.509244,0.390299,1,5.597515,0.12954,0.001537,-3.5e-05,-0.028166,-1.014586
-0.665452,-0.19935,1,0.46399,1.032503,1,4.71242,0.042783,-0.000435,-0.00415,0.000418,-0.407431
-0.170721,0.19013,0,-0.709691,0.444269,1,5.000614,0.49418,-0.004147,-0.008397,-0.01144,0.328131
-1.14404,0.314865,0,0.377148,0.193096,0,-0.259481,0.666706,-0.007027,-0.007513,-0.007012,-1.752185
-0.585737,0.703894,0,0.684731,-0.226381,1,5.075983,-0.062616,-0.019053,0.001389,-0.005722,0.307248
1.30946,0.142389,0,-0.019135,0.14084,1,5.477239,-0.474181,-0.007238,-0.001605,0.019256,-1.416615
-0.122369,0.934888,1,-0.432969,1.589956,1,5.310842,0.189203,-0.005123,0.005273,-0.011033,1.46052
0.298656,0.279611,0,-1.98798,-1.417844,0,0.208373,-1.593964,0.001512,0.000524,0.009143,0.933013
-1.521792,1.602802,0,1.341154,-0.668573,0,0.145083,-0.210322,0.019631,0.00077,0.011604,-0.801043
2.138116,1.932492,1,0.600617,0.099938,0,1.447795,-2.47156,-0.00616,0.005928,-0.023384,-1.651546
1.592494,1.009972,1,0.624934,0.514232,1,5.917147,-1.675792,-0.010237,0.014189,-0.006154,-1.842829
1.112515,1.364055,1,-1.364035,0.197336,0,0.889065,-1.826186,-0.007145,0.01459,0.014845,0.185666
0.577846,3.019285,1,1.577156,3.068284,1,6.396923,1.047352,0.001533,0.013404,-0.013148,-0.718366
-0.235777,-0.271174,1,-0.2679,1.188314,1,4.817896,0.013982,0.005886,0.008704,0.011983,0.238904
0.191154,-0.332039,1,-0.091478,0.09724,0,-0.059398,-1.262049,0.007283,0.020854,-0.000179,1.516266
0.7971,1.596427,1,-0.87197,2.405126,1,5.875211,0.491066,0.008277,0.004378,-0.000611,-1.458346
-0.87949,2.847972,1,-1.589629,2.323249,1,5.800992,0.988654,0.009692,0.003255,0.000695,-1.918101
-0.695419,0.64093,0,1.354663,0.285803,0,0.018889,0.508486,-0.002789,0.022439,0.003426,-0.495403
-1.920052,2.628263,1,1.483914,0.641701,0,0.414907,-0.18871,0.020531,-0.02726,-0.009556,0.456797
-1.022739,0.997863,1,0.031789,1.233694,1,5.050459,0.232487,-0.003548,-0.002139,-0.002604,-1.628423
1.410382,0.220542,1,-0.482068,2.894349,1,5.540412,0.901497,0.001093,0.012525,0.003706,-0.653338
-0.585167,-0.089263,1,-0.179727,0.572885,0,-0.21369,-0.469246,0.012958,0.009803,0.001769,0.682081
